column_name,table_id,source_file,source_column_role,missing_count,missing_pct,dtype,notes
census_g01_high_yr_schl_comp_yr_11_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_11_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_10_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_9_eq_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_8_belw_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_8_belw_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_yr_8_belw_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_d_n_g_sch_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_d_n_g_sch_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_high_yr_schl_comp_d_n_g_sch_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_psns_occ_priv_dwgs_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_psns_occ_priv_dwgs_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_psns_occ_priv_dwgs_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_persons_other_dwgs_m,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_persons_other_dwgs_f,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g01_count_persons_other_dwgs_p,g01,2021Census_G01_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_age_persons,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_mortgage_repay_monthly,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_tot_prsnl_inc_weekly,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_rent_weekly,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_tot_fam_inc_weekly,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_average_num_psns_per_bedroom,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,float64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_median_tot_hhd_inc_weekly,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g02_average_household_size,g02,2021Census_G02_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,float64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_home_census_nt_0_14_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_15_24_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_25_34_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_35_44_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_45_54_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_55_64_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
