column_name,source_table,initial_field_role,initial_modelling_use,missing_count,missing_pct,dtype,notes
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__any_12_month_mental_disorder_by_severity_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,severity_related_outcome,sensitivity_or_related_outcome,130,5.259,float64,Use for severe-outcome sensitivity or descriptive analysis; do not use as predictor of any-disorder outcome.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__persons_with_comorbidity,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__relative_root_mean_square_error_b,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,2422,97.977,string,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__95_confidence_interval_of_proportion,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__unnamed_2,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
nsmhw__comorbidity_of_12_month_mental_disorders_and_physical_conditions_modelled_sa2__population,sa2_nsmhw_modelled_estimates_2020_22_wide,comorbidity_related_outcome,related_outcome_or_descriptive_context,130,5.259,float64,Comorbidity measure is outcome-adjacent; classify before modelling.
source_nsmhw_present_flag,integration_build,source_presence_audit,audit_only,0,0.0,bool,Indicates whether the SA2 matched the source table during integration.
